,code_doc,il08_09,vg04_05,fd03_04,la09_10,cg13_14,mb00_12
5,57_6_100_1,,,,,,1.5117966575868182
55,147_1_100_1,,,,,,0.9668563004009634
135,210_3_100_1,0.6181371687326466,,-0.288297340943751,,,
155,253_11_100_1,,,,,,-0.2138478068350552
185,274_9_100_1,,1.0035772375842282,,1.019386354317139,2.38507189893613,
195,13_2_100_1,0.32854990910491605,,0.8982325316478775,,,
215,72_2_100_1,,,,,,1.2847381754260454
300,65_11_100_1,,0.8567773757035566,,0.38154506321995313,0.40225556290728687,
375,190_10_100_1,,0.23287796271070188,,0.8280339669879833,-0.17171758699579923,
380,19_13_100_1,,0.4530777555317094,,1.2745228707560134,-1.1109463777463038,
385,107_7_100_1,,0.7099775138228849,,0.8280339669879833,0.08917929932378536,
415,231_13_100_1,,,,,,1.3301498718581999
440,211_15_100_1,-1.1193863890337366,,-1.2590945094278105,,,
540,180_4_100_1,0.9077244283603771,,-0.827629101212673,,,
565,100_1_100_1,0.5602197168071005,,-0.9354954532664573,,,
575,278_14_100_1,,0.8567773757035566,,-0.3838644860966699,-0.7978701141628023,
580,148_4_100_1,,,,,,-1.3491402176389193
585,108_3_100_1,,0.23287796271070188,,0.7004657087685461,-0.6935113596349685,
620,221_7_100_1,,,,,,1.3755615682903546
630,45_14_100_1,1.1973116879881076,,0.3589007713789555,,,
635,226_6_100_1,2.1819083707223914,,1.1678984117823386,,,
695,29_12_100_1,,-1.1250207596855113,,-0.3838644860966699,0.9240493355464561,
765,128_5_100_1,,,,,,1.7388551397475909
815,186_2_100_1,,0.8567773757035566,,0.8918180960977018,1.7589193717691267,
820,208_12_100_1,,,,,,1.8296785326119
835,2_4_100_1,,-0.06072176105064153,,-0.5114327443161071,-0.7456907368988853,
955,80_9_100_1,0.6760546206581927,,2.5162278124546433,,,
1020,271_14_100_1,,,,,,-0.9404349497495282
1025,79_8_100_1,0.7918895245092848,,-0.12649781286307435,,,
1055,291_8_100_1,,0.6365775828825491,,0.9556022252074204,0.4544349401712038,
1200,197_7_100_1,-0.8877165813315522,,1.329697939863015,,,
1320,199_9_100_1,,,,,,0.8306212111044997
1390,165_10_100_1,0.7339720725837388,,0.08923489124449445,,,
